0,株式会社カラット,https://baito.mynavi.jp/cl-002643400802/job-62218272/,【自社ゲームアプリの運営】ゲーム好きがたくさん★未経験歓迎！開発に携われるチャンスも
1,株式会社Phone Appli,https://baito.mynavi.jp/cl-002612904792/job-62581620/,【テストエンジニア】《在宅OK》経験を活かして♪自由な働き方が◎!オシャレ自由*。
2,株式会社GENZ,https://baito.mynavi.jp/cl-002438600980/job-62729512/,【テスト実施/テスト設計/実施管理】≪リモート有≫配信アプリのテスト業務!髪色服装自由!
3,株式会社Tixplus（ティックスプラス）,https://baito.mynavi.jp/cl-002156006342/job-62549714/,【エンジニア】バイトで入社⇒簡単な事からコツコツ⇒スキルアップ⇒若手エンジニア♪
4,株式会社インサイト,https://baito.mynavi.jp/cl-002430103100/job-62718212/,【テスター】＼未経験大大大歓迎／超カンタン！システムのテスト業務★オシャレ自由♪
5,合同会社ウィザードトータスゲームス,https://baito.mynavi.jp/cl-002672504943/job-63012324/,【ゲーム開発レッスンの受講テスター】高時給1500円！完全在宅×夏の短期バイト★経験不問
6,ネオシステム株式会社,https://baito.mynavi.jp/cl-002300705600/job-62936848/,【SE】ブランク＆未経験OK！《IT×スポーツ》イチから開発スキル・保守・運用を学べる◎
7,ギグワークスアドバリュー株式会社/00048543,https://baito.mynavi.jp/cl-002224205671/job-63150214/,【受信STAFF】高時給1500円★普段からスマホ使ってる⇒それでOK！研修後は在宅の相談可♪
8,リップル株式会社,https://baito.mynavi.jp/cl-002976506251/job-62790310/,【システムエンジニア】高時給2500円START★慣れてきたらリモート勤務も♪フルタイム歓迎!
9,グローバル･リレーションズ株式会社 ※品川エリア,https://baito.mynavi.jp/cl-002369104938/job-62700484/,【SE・プログラマー】平日のみ×土日祝休み★在宅WORKも相談OK！仕事スタート日の調整も◎
10,株式会社キーウォーカー,https://baito.mynavi.jp/cl-002532409010/job-62308082/,【データ分析エンジニア】実務未経験ＯＫ⇒ＩＴエンジニアになれるチャンス！正社員登用有
11,パシフィックリプロサービス株式会社,https://baito.mynavi.jp/cl-002852005350/job-62131110/,【保守・運用スタッフ】安定！創業50年の老舗企業★土日休み♪未経験から月収20万円超え◎
